1,50,1:00,3,50,40,0,0,0,5,5,0,0,
2,100,1:00,3,50,40,0,0,0,5,5,0,0,
3,125,1:00,3,40,30,10,0,0,10,10,0,0,
4,150,1:30,3,40,30,10,0,0,10,5,0,5,
5,200,1:30,3,40,30,10,0,0,10,10,0,0,
6,225,1:30,3,50,40,0,0,0,5,5,0,0,
7,250,1:30,2,35,20,15,10,0,5,5,5,5,
8,300,1:30,2,35,20,15,10,0,5,5,5,5,
9,350,2:00,2,35,20,15,10,0,5,5,5,5,
10,400,2:00,2,20,20,15,15,10,0,10,10,0,
11,425,2:00,3,35,20,15,10,0,5,5,5,5,
12,500,2:30,2,35,20,15,10,0,5,5,5,5,
13,600,2:30,2,20,20,15,15,10,0,10,10,0,
14,750,2:30,2,20,20,15,15,10,0,10,10,0,
15,900,2:30,3,20,20,15,15,10,0,10,10,0,
16,1000,3:00,3,10,15,20,20,10,5,0,10,10,
17,1250,3:00,3,10,15,20,20,10,5,0,10,10,
18,1500,3:30,2,10,15,20,20,10,5,0,10,10,
19,2000,3:30,2,20,20,15,15,10,0,10,10,0,
20,2250,3:30,2,10,15,20,20,10,5,0,10,10,
21,2500,3:00,2,10,15,20,20,10,5,0,10,10,
22,3000,3:00,3,5,10,15,20,15,5,5,10,15,
23,2750,3:00,3,5,10,15,20,15,5,5,10,15,
24,2250,2:30,3,5,10,15,20,15,5,5,10,15,
25,2000,2:30,2,10,15,20,20,10,5,0,10,10,
26,2500,2:30,2,20,20,15,15,10,0,10,10,0,
27,2750,2:00,2,10,15,20,20,10,5,0,10,10,
28,3000,2:00,3,10,15,20,20,10,5,0,10,10,
29,3000,3:00,2,5,10,15,20,15,5,5,10,15,
30,3000,3:30,2,5,10,15,20,15,5,5,10,15,
